StudentID,Gender,StudyHours,PreviousScores,Participation,Performance
315,Male,1,47,Medium,Fail
316,Female,9,64,Medium,Pass
317,Male,1,85,Low,Fail
318,Male,1,43,High,Fail
319,Male,7,72,Medium,Pass
320,Female,2,40,Low,Fail
321,Female,5,58,Low,Fail
322,Male,8,70,Medium,Pass
323,Female,8,55,Medium,Pass
324,Female,3,53,High,Fail
325,Female,7,92,High,Pass
326,Female,3,87,Low,Pass
327,Male,6,44,High,Pass
328,Male,6,80,Low,Pass
329,Female,3,65,High,Pass
330,Female,7,67,High,Pass
331,Male,3,41,Medium,Fail
332,Male,8,89,High,Pass
333,Female,10,45,Medium,Pass
334,Male,4,48,Medium,Fail
335,Female,1,72,High,Pass
336,Female,4,80,Medium,Pass
337,Male,7,64,Medium,Pass
338,Male,4,87,Medium,Pass
339,Female,6,52,High,Pass
340,Female,9,48,Medium,Pass
341,Male,1,92,Low,Fail
342,Female,5,52,High,Pass
343,Male,7,70,High,Pass
344,Female,1,80,Low,Fail
345,Male,4,50,Low,Fail
346,Male,6,43,Low,Fail
347,Male,2,73,Medium,Fail
348,Female,10,100,Medium,Pass
349,Female,5,77,High,Pass
350,Male,10,85,Medium,Pass
351,Female,1,43,Medium,Fail
352,Male,6,77,Medium,Pass
353,Male,6,58,High,Pass
354,Female,4,45,Medium,Fail
355,Female,8,73,High,Pass
356,Male,4,57,Medium,Fail
357,Female,8,52,Low,Pass
358,Female,8,80,Medium,Pass
359,Male,5,62,Medium,Pass
360,Male,4,58,Medium,Fail
361,Female,2,84,Low,Fail
362,Male,3,50,Low,Fail
363,Male,3,40,High,Fail
364,Female,4,63,Low,Fail
365,Male,4,93,High,Pass
366,Male,10,46,Low,Pass
367,Female,5,64,Medium,Pass
368,Female,4,60,Medium,Pass
369,Male,10,54,Medium,Pass
370,Male,8,40,Medium,Pass
371,Female,6,51,Low,Fail
372,Female,6,97,Low,Pass
373,Female,8,46,Medium,Pass
374,Female,7,54,Medium,Pass
375,Male,10,60,High,Pass
376,Female,10,58,High,Pass
377,Female,8,99,High,Pass
378,Male,2,68,High,Pass
379,Female,9,64,Medium,Pass
380,Male,1,72,Low,Fail
381,Female,8,88,High,Pass
382,Female,4,71,Medium,Pass
383,Female,4,88,Medium,Pass
384,Male,5,74,Low,Pass
385,Male,8,83,Medium,Pass
386,Female,5,77,Medium,Pass
387,Male,8,65,High,Pass
388,Male,10,50,Medium,Pass
389,Male,1,74,Medium,Fail
390,Male,10,47,High,Pass
391,Male,9,85,Low,Pass
392,Male,6,53,Medium,Pass
393,Female,3,49,Low,Fail
394,Female,8,41,High,Pass
395,Male,9,85,High,Pass
396,Female,6,48,Low,Fail
397,Female,7,42,High,Pass
398,Female,1,60,Low,Fail
399,Female,5,65,High,Pass
400,Male,5,47,High,Pass
401,Female,10,87,High,Pass
402,Female,4,41,Low,Fail
403,Male,6,45,High,Pass
404,Male,7,67,High,Pass
405,Female,9,92,Medium,Pass
406,Female,1,68,High,Fail
407,Female,6,65,Low,Pass
408,Female,7,64,High,Pass
409,Female,3,51,Low,Fail
410,Female,8,44,High,Pass
411,Male,5,73,Medium,Pass
412,Female,9,87,Low,Pass
413,Female,5,76,Low,Pass
414,Male,9,54,Low,Pass
415,Male,10,83,Medium,Pass
416,Male,4,75,Medium,Pass
417,Male,9,54,Medium,Pass
418,Female,5,82,Low,Pass
419,Female,10,87,Low,Pass
420,Female,9,62,High,Pass
421,Female,3,45,Low,Fail
422,Female,4,85,High,Pass
423,Female,9,89,High,Pass
424,Male,10,83,Medium,Pass
425,Female,6,98,Medium,Pass
426,Male,2,82,High,Pass
427,Male,7,84,Low,Pass
428,Female,2,60,Low,Fail
429,Male,2,62,Low,Fail
430,Female,1,82,High,Pass
431,Male,3,94,Low,Pass
432,Female,6,55,Medium,Pass
433,Male,8,86,High,Pass
434,Female,9,92,High,Pass
435,Female,7,99,Medium,Pass
436,Female,4,54,Low,Fail
437,Female,6,64,High,Pass
438,Female,5,75,Medium,Pass
439,Male,8,50,Low,Pass
440,Male,1,90,Low,Fail
441,Male,1,54,High,Fail
442,Female,6,43,Medium,Fail
443,Male,10,60,High,Pass
444,Female,2,52,High,Fail
445,Female,5,61,Medium,Pass
446,Male,1,58,Medium,Fail
447,Male,7,73,Medium,Pass
448,Female,1,53,Medium,Fail
449,Male,4,100,Medium,Pass
450,Female,9,43,High,Pass
451,Female,1,87,Medium,Pass
452,Female,4,92,High,Pass
453,Female,6,91,Medium,Pass
454,Female,6,85,Medium,Pass
455,Male,8,66,Medium,Pass
456,Male,1,68,Medium,Fail
457,Female,7,86,High,Pass
458,Female,1,67,Low,Fail
459,Male,7,74,Medium,Pass
460,Male,3,47,Low,Fail
461,Female,8,55,Medium,Pass
462,Male,3,81,Medium,Pass
463,Female,1,75,Medium,Fail
464,Male,8,69,High,Pass
465,Female,3,57,Medium,Fail
466,Male,2,41,High,Fail
467,Female,1,88,Medium,Pass
468,Male,3,52,Medium,Fail
469,Male,2,43,Low,Fail
470,Female,2,65,Low,Fail
471,Male,6,64,Medium,Pass
472,Female,1,69,Medium,Fail
473,Male,2,50,Low,Fail
474,Female,6,46,Low,Fail
475,Male,3,70,Low,Fail
476,Female,4,83,High,Pass
477,Male,1,49,Medium,Fail
478,Female,8,78,Medium,Pass
479,Male,7,52,Low,Pass
480,Female,7,70,Medium,Pass
481,Female,3,46,Low,Fail
482,Female,10,95,Low,Pass
483,Male,10,88,Medium,Pass
484,Female,3,81,Low,Pass
485,Male,2,100,Low,Pass
486,Female,1,81,Low,Fail
487,Male,7,95,Low,Pass
488,Female,7,75,Low,Pass
489,Male,2,59,Medium,Fail
490,Male,7,43,High,Pass
491,Female,8,93,Medium,Pass
492,Male,1,46,Medium,Fail
493,Male,9,93,Low,Pass
494,Female,7,40,High,Pass
495,Male,3,83,Medium,Pass
496,Male,8,95,Low,Pass
497,Male,7,84,Medium,Pass
498,Female,8,81,Low,Pass
499,Male,6,86,Medium,Pass
500,Female,9,98,Medium,Pass
501,Male,5,52,High,Pass
502,Male,3,94,Medium,Pass
503,Male,3,61,High,Pass
504,Female,1,93,High,Pass
505,Male,8,60,Low,Pass
506,Male,2,61,Low,Fail
507,Female,3,67,Medium,Fail
508,Male,8,48,Medium,Pass
509,Female,8,65,Medium,Pass
510,Female,4,48,High,Fail
511,Male,4,54,High,Pass
512,Female,5,49,Medium,Fail
513,Male,6,63,Medium,Pass
514,Female,5,97,High,Pass
515,Female,7,96,High,Pass
516,Male,2,100,High,Pass
517,Female,7,81,Low,Pass
518,Female,10,47,Medium,Pass
519,Female,7,63,Low,Pass
520,Female,1,55,Low,Fail
521,Female,7,88,Low,Pass
522,Male,5,65,Medium,Pass
523,Female,3,66,Medium,Fail
524,Male,3,76,Low,Fail
525,Female,4,43,Medium,Fail
526,Male,2,89,Medium,Pass
527,Male,2,63,Medium,Fail
528,Female,1,58,Low,Fail
529,Female,5,75,Medium,Pass
530,Female,4,99,High,Pass
531,Male,10,78,Low,Pass
532,Female,2,49,Low,Fail
533,Male,3,64,Medium,Fail
534,Male,7,57,High,Pass
535,Male,7,58,Medium,Pass
536,Female,4,75,Medium,Pass
537,Female,5,49,Medium,Fail
538,Male,5,72,Medium,Pass
539,Male,6,94,Low,Pass
540,Female,9,89,Medium,Pass
541,Male,2,44,High,Fail
542,Female,5,86,Medium,Pass
543,Male,3,88,High,Pass
544,Female,4,74,High,Pass
545,Male,10,83,Low,Pass
546,Female,6,73,High,Pass
547,Male,8,72,Low,Pass
548,Female,1,94,Medium,Pass
549,Female,10,60,Low,Pass
550,Male,8,56,Low,Pass
551,Male,7,61,Medium,Pass
552,Female,1,87,Low,Fail
553,Male,2,76,Medium,Pass
554,Female,3,54,Medium,Fail
555,Male,1,74,Low,Fail
556,Female,9,67,Low,Pass
557,Female,8,46,Medium,Pass
558,Female,2,71,Medium,Fail
559,Female,9,50,High,Pass
560,Female,7,49,Medium,Pass
561,Female,9,48,High,Pass
562,Male,6,53,Medium,Pass
563,Male,6,52,Medium,Pass
564,Male,4,100,Medium,Pass
565,Female,10,96,Low,Pass
566,Female,10,64,Medium,Pass
567,Female,2,41,High,Fail
568,Female,7,74,Medium,Pass
569,Male,5,46,High,Pass
570,Male,6,60,High,Pass
571,Female,2,57,High,Fail
572,Male,5,42,High,Fail
573,Male,10,81,Medium,Pass
574,Female,4,93,Medium,Pass
575,Male,9,100,Medium,Pass
576,Female,6,78,Medium,Pass
577,Male,2,80,Medium,Pass
578,Female,1,88,High,Pass
579,Female,5,50,Medium,Fail
580,Female,9,78,Medium,Pass
581,Female,6,63,Low,Pass
582,Male,10,99,Medium,Pass
583,Female,7,85,Low,Pass
584,Female,5,58,High,Pass
585,Female,10,43,Medium,Pass
586,Male,6,65,Low,Pass
587,Female,5,77,Low,Pass
588,Male,9,81,Medium,Pass
589,Female,6,71,Medium,Pass
590,Male,8,78,Medium,Pass
591,Male,2,84,Low,Fail
592,Female,9,85,Medium,Pass
593,Male,5,75,Medium,Pass
594,Female,7,79,Medium,Pass
595,Female,10,76,Medium,Pass
596,Female,1,72,Medium,Fail
597,Male,10,75,Low,Pass
598,Male,5,42,High,Fail
599,Female,10,48,Medium,Pass
600,Female,2,47,Medium,Fail
601,Male,6,72,Low,Pass
602,Female,1,98,Medium,Pass
603,Female,3,45,Low,Fail
604,Female,5,80,Medium,Pass
605,Male,4,78,High,Pass
606,Male,3,43,Medium,Fail
607,Male,10,52,Low,Pass
608,Female,5,88,Low,Pass
609,Female,8,99,Medium,Pass
610,Female,4,41,Low,Fail
611,Male,1,99,Low,Pass
612,Female,7,44,High,Pass
613,Female,8,83,Medium,Pass
614,Female,3,66,Low,Fail
615,Female,6,71,High,Pass
616,Male,2,60,Low,Fail
617,Male,7,47,High,Pass
618,Female,8,77,Medium,Pass
619,Male,6,47,High,Pass
620,Male,6,89,Medium,Pass
621,Female,5,42,High,Fail
622,Female,8,93,High,Pass
623,Male,1,83,Low,Fail
624,Female,10,100,High,Pass
625,Male,4,97,Medium,Pass
626,Female,4,42,Medium,Fail
627,Male,3,61,Medium,Fail
628,Female,3,45,Medium,Fail
629,Male,4,41,Low,Fail
630,Male,1,62,Medium,Fail
631,Male,2,83,Medium,Pass
632,Female,9,41,High,Pass
633,Male,10,77,High,Pass
634,Male,2,56,Medium,Fail
635,Female,5,74,Medium,Pass
636,Female,9,73,Low,Pass
637,Male,9,62,Low,Pass
638,Male,8,69,Low,Pass
639,Female,1,91,Medium,Pass
640,Female,1,47,Low,Fail
641,Female,9,61,High,Pass
642,Female,8,83,Medium,Pass
643,Female,10,97,Medium,Pass
644,Male,9,75,Medium,Pass
645,Female,7,44,Low,Fail
646,Male,3,52,Medium,Fail
647,Male,3,68,Medium,Pass
648,Male,2,70,Medium,Fail
649,Female,5,86,Medium,Pass
650,Male,3,96,High,Pass
651,Male,6,94,High,Pass
652,Female,2,55,Medium,Fail
653,Male,3,81,Medium,Pass
654,Male,5,69,Medium,Pass
655,Female,1,96,Low,Pass
656,Male,1,94,Medium,Pass
657,Male,10,55,Low,Pass
658,Male,9,51,Medium,Pass
659,Female,7,56,Medium,Pass
660,Female,1,55,Low,Fail
661,Female,8,51,High,Pass
662,Male,3,47,High,Fail
663,Male,8,59,High,Pass
664,Female,5,42,Medium,Fail
665,Male,1,55,High,Fail
666,Male,7,69,Low,Pass
667,Female,5,84,High,Pass
668,Female,6,62,Low,Pass
669,Male,6,67,High,Pass
670,Male,8,90,Low,Pass
671,Male,9,79,High,Pass
672,Female,2,93,High,Pass
673,Female,9,44,Low,Pass
674,Female,10,59,Medium,Pass
675,Female,9,79,High,Pass
676,Male,10,95,Medium,Pass
677,Female,10,83,High,Pass
678,Female,7,40,Medium,Pass
679,Female,1,96,Medium,Pass
680,Female,7,69,Low,Pass
681,Female,10,60,Low,Pass
682,Male,5,59,High,Pass
683,Male,6,45,Medium,Fail
684,Female,10,61,Medium,Pass
685,Male,7,57,Medium,Pass
686,Female,5,47,Medium,Fail
687,Female,7,78,High,Pass
688,Male,9,71,High,Pass
689,Male,3,72,Medium,Pass
690,Female,8,92,High,Pass
691,Female,2,55,High,Fail
692,Female,7,51,Medium,Pass
693,Male,2,77,High,Pass
694,Female,4,91,Low,Pass
695,Female,7,73,Low,Pass
696,Female,3,100,High,Pass
697,Male,2,53,Medium,Fail
698,Female,10,75,High,Pass
699,Female,7,72,High,Pass
700,Male,1,62,Low,Fail
701,Female,8,89,High,Pass
702,Female,3,84,Medium,Pass
703,Male,2,41,Medium,Fail
704,Female,3,80,Medium,Pass
705,Male,5,60,High,Pass
706,Male,8,41,Low,Fail
707,Female,10,66,Medium,Pass
708,Female,7,96,Medium,Pass
709,Female,7,48,High,Pass
710,Female,7,40,Medium,Pass
711,Male,8,50,Low,Pass
712,Female,1,42,Low,Fail
713,Male,4,91,Medium,Pass
714,Female,6,62,High,Pass
715,Female,9,65,Low,Pass
716,Female,2,43,Low,Fail
717,Male,1,57,High,Fail
718,Female,10,94,Low,Pass
719,Female,2,45,High,Fail
720,Female,7,74,Medium,Pass
721,Female,3,61,High,Pass
722,Male,10,82,Low,Pass
723,Female,2,54,Low,Fail
724,Male,7,61,High,Pass
725,Male,2,99,High,Pass
726,Male,3,76,High,Pass
727,Male,7,91,Low,Pass
728,Male,4,81,High,Pass
729,Male,1,51,High,Fail
730,Female,5,86,Medium,Pass
731,Male,9,88,High,Pass
732,Male,8,81,High,Pass
733,Male,9,77,Medium,Pass
734,Female,10,57,Low,Pass
735,Female,9,84,Medium,Pass
736,Male,7,74,Low,Pass
737,Female,4,69,Medium,Pass
738,Male,5,63,Medium,Pass
739,Male,1,81,Low,Fail
740,Female,1,69,Medium,Fail
741,Male,3,53,Low,Fail
742,Female,8,45,High,Pass
743,Female,2,42,High,Fail
744,Male,4,55,Low,Fail
745,Male,2,46,High,Fail
746,Female,5,91,Medium,Pass
747,Male,9,53,Low,Pass
748,Male,1,48,Low,Fail
749,Male,5,54,Medium,Pass
750,Female,9,60,High,Pass
751,Female,1,74,High,Pass
752,Male,9,41,Low,Pass
753,Female,8,66,Low,Pass
754,Female,4,41,Medium,Fail
755,Female,10,74,Low,Pass
756,Female,5,57,Low,Fail
757,Female,5,53,Low,Fail
758,Male,6,59,High,Pass
759,Male,7,57,High,Pass
760,Male,8,49,Medium,Pass
761,Female,8,64,High,Pass
762,Female,2,41,Medium,Fail
763,Male,9,64,Medium,Pass
764,Female,7,100,Low,Pass
765,Male,4,93,Medium,Pass
766,Male,4,72,High,Pass
767,Male,8,75,Medium,Pass
768,Female,4,70,Medium,Pass
769,Female,6,53,Medium,Pass
770,Male,5,40,Low,Fail
771,Male,3,85,High,Pass
772,Male,10,55,Medium,Pass
773,Male,2,93,Medium,Pass
774,Female,9,85,Medium,Pass
775,Female,10,100,Medium,Pass
776,Male,9,91,Low,Pass
777,Male,1,42,Medium,Fail
778,Female,10,74,Low,Pass
779,Female,3,80,High,Pass
780,Male,8,45,High,Pass
781,Male,6,64,High,Pass
782,Male,5,52,Medium,Fail
783,Female,5,92,Medium,Pass
784,Female,6,73,Low,Pass
785,Female,7,47,High,Pass
786,Male,1,60,Low,Fail
787,Male,9,73,Medium,Pass
788,Female,3,43,Low,Fail
789,Female,4,64,Low,Fail
790,Male,10,54,Medium,Pass
791,Female,1,43,Low,Fail
792,Female,10,84,High,Pass
793,Male,3,99,Medium,Pass
794,Female,2,51,Low,Fail
795,Male,2,71,Medium,Fail
796,Male,1,71,Low,Fail
797,Male,8,67,Low,Pass
798,Male,3,52,High,Fail
799,Male,3,70,Low,Fail
800,Male,6,53,High,Pass
801,Male,8,59,Low,Pass
802,Female,9,57,Low,Pass
803,Male,9,68,High,Pass
804,Male,4,99,Medium,Pass
805,Female,5,45,Low,Fail
806,Female,2,71,Medium,Fail
807,Female,9,68,Low,Pass
808,Male,8,82,High,Pass
809,Female,3,41,Medium,Fail
810,Male,9,99,High,Pass
811,Male,3,62,High,Pass
812,Male,9,58,Medium,Pass
813,Male,2,70,High,Pass
814,Female,10,90,Medium,Pass
815,Female,9,44,High,Pass
816,Male,8,58,Low,Pass
817,Male,9,73,Medium,Pass
818,Male,5,49,Medium,Fail
819,Female,2,64,Medium,Fail
820,Male,8,41,Medium,Pass
821,Male,6,50,High,Pass
822,Female,8,89,Low,Pass
823,Female,5,100,Low,Pass
824,Male,10,70,High,Pass
825,Female,2,95,Medium,Pass
826,Female,6,54,High,Pass
827,Male,5,48,High,Pass
828,Female,5,62,High,Pass
829,Male,1,58,High,Fail
830,Female,2,48,Low,Fail
831,Male,8,74,Low,Pass
832,Male,3,60,High,Pass
833,Male,10,48,Medium,Pass
834,Female,3,67,Low,Fail
835,Male,8,85,Medium,Pass
836,Female,8,90,High,Pass
837,Male,2,46,Medium,Fail
838,Male,8,55,Medium,Pass
839,Female,1,55,Medium,Fail
840,Male,6,99,Low,Pass
841,Male,8,72,Medium,Pass
842,Female,3,43,Medium,Fail
843,Male,8,43,Low,Pass
844,Male,1,78,High,Pass
845,Male,9,79,Medium,Pass
846,Male,9,56,High,Pass
847,Female,5,76,High,Pass
848,Female,10,78,Low,Pass
849,Male,4,99,Medium,Pass
850,Female,6,91,Medium,Pass
851,Male,7,68,High,Pass
852,Female,5,91,Low,Pass
853,Male,10,75,Medium,Pass
854,Male,9,99,Medium,Pass
855,Male,3,77,Low,Fail
856,Male,7,78,Low,Pass
857,Male,10,89,Medium,Pass
858,Male,10,76,High,Pass
859,Female,5,91,Medium,Pass
860,Male,7,100,Medium,Pass
861,Female,2,74,Medium,Fail
862,Male,4,46,High,Fail
863,Female,2,66,Low,Fail
864,Female,7,67,High,Pass
865,Female,2,61,Low,Fail
